"","V1"
"4750","Only real negative was the marketing of the swimming pool, this was attached to the hotel as part of the leisure facilities but was not really aimed at families.  Firstly paying £5 per person for an hour was very expensive and secondly the pool was split into swimming lanes which did not really cater for children and you only know this once you have paid and are in the swimming pool itself."
"4751","Not really a neg comment about hotel but my partner booked the hotel during our trip home in the car on my iPhone, we recieved an email back to say our booking was confirmed and all was ok! Arrived at the radisson blu went to reception and tried to check in,no booking under my name or confirmation in their bookings dept from Hotelopia??? Luckily hotel wasn't full or Hotelopia would have had my wrath! Not a problem or issue with the check in girl booked us in in a flash and full of apologies! Where did my booking go Hotelopia????"
"4752","Not really a neg comment about hotel but my partner booked the hotel during our trip home in the car on my iPhone, we recieved an email back to say our booking was confirmed and all was ok! Arrived at the radisson blu went to reception and tried to check in,no booking under my name or confirmation in their bookings dept from Hotelopia??? Luckily hotel wasn't full or Hotelopia would have had my wrath! Not a problem or issue with the check in girl booked us in in a flash and full of apologies! Where did my booking go Hotelopia????"
"4753","The position"
"4754","The staff, cleanliness was very bad spec. In the swimmingpoll  Very bad sea view "
"4755","The position"
"4756","The staff, cleanliness was very bad spec. In the swimmingpoll  Very bad sea view "
"4757","facilities good and location. price a bit expensive."
"4758","facilities good and location. price a bit expensive."
"4759","It was a professionally managed clean hotel. The staff was easily spoken to and were ready to please customers."
"4760","The site of the hotel was little small, it would be nice with a larger garden and pool. The food was not bad but there were not so much different things to choose, specially for breakfast."
"4761","It was a professionally managed clean hotel. The staff was easily spoken to and were ready to please customers."
"4762","The site of the hotel was little small, it would be nice with a larger garden and pool. The food was not bad but there were not so much different things to choose, specially for breakfast."
"4763","The staff were so efficient and friendly"
